Airport Name,Weather Condition,Wind Condition,Visibility Condition,Delay Status
"['MNL - Manila, Ninoy Aquino International Airport Current Conditions']",Few clouds84°F(29°C,)Wind4,ESEVisibility6,['VERY LOW and decreasing']
"['SIN - Singapore, Changi International Airport Current Conditions']",Scattered clouds84°F(29°C,)Wind8,NEVisibility6,['VERY LOW and decreasing']
['KUL - Kuala Lumpur International Airport Current Conditions'],Few clouds82°F(28°C,)Wind--,Visibility6 ,['VERY LOW and decreasing']
['BKI - Kota Kinabalu International Airport Current Conditions'],Few clouds84°F(29°C,)Wind5,ESEVisibility6,['VERY LOW and decreasing']
['PEN - Penang International Airport Current Conditions'],Few clouds84°F(29°C,)Wind3,EVisibility6,['VERY LOW']
"['KTM - Kathmandu, Tribhuvan International Airport Current Conditions']",Few clouds63°F(17°C,)Wind4,WVisibility4,['VERY LOW']
['PBH - Paro Airport Current Conditions'],°F(15°C)Wind,10 kts,6 miles,[]
"['MLE - Male, Velana International Airport Current Conditions']",Few clouds90°F(32°C,)Wind8,EVisibility6,['VERY LOW']
"['DEL - Delhi, Indira Gandhi International Airport Current Conditions']",Few clouds72°F(22°C,)Wind4,EVisibility1,['VERY LOW and decreasing']
"['BOM - Mumbai, Chhatrapati Shivaji Maharaj International Airport Current Conditions']",No significant clouds84°F(29°C,)Wind7,WNWVisibility2,['VERY LOW']
['MAA - Chennai International Airport Current Conditions'],Scattered clouds82°F(28°C,)Wind3,SVisibility2,['LOW and decreasing']
"['CCU - Kolkata, Netaji Subhas Chandra Bose Airport Current Conditions']",Few clouds81°F(27°C,)Wind4,NNEVisibility2,['VERY LOW and decreasing']
"['HYD - Hyderabad, Rajiv Gandhi International Airport Current Conditions']",Few clouds82°F(28°C,)Wind8,ESEVisibility4,['VERY LOW and decreasing']
"['BLR - Bengaluru, Kempegowda International Airport Current Conditions']",Scattered clouds77°F(25°C,)Wind10,EVisibility6,['VERY LOW']
"['COK - Kochi, Cochin International Airport Current Conditions']",Scattered clouds90°F(32°C,)Wind2,NNEVisibility3,['VERY LOW and decreasing']
['RGN - Yangon International Airport Current Conditions'],Few clouds86°F(30°C,)Wind4,NNEVisibility4,['VERY LOW']
['MDL - Mandalay International Airport Current Conditions'],--°F(--°C),Wind-- ,-- miles,['VERY LOW']
"['NYT - Naypyidaw, Nay Pyi Taw Airport Current Conditions']",Scattered clouds86°F(30°C,)Wind4,NWVisibility4,['NOT AVAILABLE']
['ISB - Islamabad International Airport Current Conditions'],Scattered clouds63°F(17°C,)Wind4,SVisibility2,['VERY LOW']
"['KHI - Karachi, Jinnah International Airport Current Conditions']",No significant clouds82°F(28°C,)Wind6,NNEVisibility3,['VERY LOW and decreasing']
"['LHE - Lahore, Allama Iqbal International Airport Current Conditions']",Scattered clouds75°F(24°C,)Wind4,NEVisibility1,['VERY LOW']
['PNH - Phnom Penh International Airport Current Conditions'],Few clouds84°F(29°C,)Wind4,NVisibility6,['VERY LOW']
['REP - Siem Reap International Airport Current Conditions'],F(--°C)Wind--, ktsVisibility,milesCurrent Weather ConditionsAre Not Available,[]
"['DAC - Dhaka, Hazrat Shahjalal International Airport Current Conditions']",Few clouds82°F(28°C,)Wind3,ENEVisibility2,['VERY LOW']
"['TSE - Astana, Nur-Sultan Nazarbayev Airport Current Conditions']",Scattered clouds41°F(5°C,)Wind3,ESEVisibility6,['VERY LOW']
['ALA - Almaty Airport Current Conditions'],Few clouds50°F(10°C,)Wind1,SSEVisibility1,['VERY LOW and decreasing']
['AKX - Aktobe Airport Current Conditions'],Broken clouds30°F(-1°C,)Wind8,NWVisibility6,['VERY LOW']
['KGF - Karaganda Airport Current Conditions'],°F(7°C)Wind,2 kts,6 miles,[]
"['DMB - Taraz, Jambyl Airport Current Conditions']",°F(15°C)Wind,8 kts,5 miles,[]
['SCO - Aktau International Airport Current Conditions'],50°F(10°C),Wind9 ,Visibility6 ,['VERY LOW']
['KZO - Kzyl-Orda Airport Current Conditions'],°F(4°C)Wind,5 kts,6 miles,[]
['TAS - Tashkent International Airport Current Conditions'],Broken clouds54°F(12°C,)Wind6,WVisibility2,['VERY LOW']
['SKD - Samarkand Airport Current Conditions'],Broken clouds48°F(9°C,)Wind6,NWVisibility3,['VERY LOW']
['AZN - Andizhan Airport Current Conditions'],F(--°C)Wind--, ktsVisibility,milesCurrent Weather ConditionsAre Not Available,[]
"['FRU - Bishkek, Manas International Airport Current Conditions']",Scattered clouds55°F(13°C,)Wind5,WVisibility6,['VERY LOW and decreasing']
['OSS - Osh Airport Current Conditions'],--°F(--°C),Wind-- ,-- miles,['VERY LOW']
['DYU - Dushanbe Airport Current Conditions'],Few clouds54°F(12°C,)Wind3,WVisibility1,['LOW and decreasing']
['LBD - Khujand Airport Current Conditions'],Few clouds55°F(13°C,)Wind9,WSWVisibility2,['EXCESSIVE']
['ASB - Ashgabat Airport Current Conditions'],Overcast48°F(9°C,)Wind6,EVisibility6,['VERY LOW']
['DXB - Dubai Airport Current Conditions'],Few clouds86°F(30°C,)Wind11,WNWVisibility6,['VERY LOW and decreasing']
['AUH - Abu Dhabi International Airport Current Conditions'],Few clouds84°F(29°C,)Wind14,NWVisibility6,['VERY LOW and decreasing']
['SHJ - Sharjah International Airport Current Conditions'],Few clouds86°F(30°C,)Wind10,WVisibility6,['VERY LOW and decreasing']
"['RUH - Riyadh, King Khalid International Airport Current Conditions']",73°F(23°C),Wind5 ,Visibility6 ,['VERY LOW']
"['DMM - Dammam, King Fahd International Airport Current Conditions']",77°F(25°C),Wind15 ,Visibility6 ,['VERY LOW']
"['JED - Jeddah, King Abdulaziz International Airport Current Conditions']",90°F(32°C),Wind6 ,Visibility6 ,['VERY LOW and decreasing']
"['TLV - Tel Aviv-Yafo, Ben Gurion International Airport Current Conditions']",72°F(22°C),Wind8 ,Visibility6 ,['VERY LOW and decreasing']
['HFA - Haifa Airport Current Conditions'],72°F(22°C),Wind10 ,Visibility6 ,['VERY LOW']
['JRS - Jerusalem Airport Current Conditions'],F(--°C)Wind--, ktsVisibility,milesCurrent Weather ConditionsAre Not Available,[]
['MCT - Muscat International Airport Current Conditions'],Few clouds84°F(29°C,)Wind9,NNEVisibility6,['VERY LOW']
"[""SAH - Sana'a International Airport Current Conditions""]",F(--°C)Wind--, ktsVisibility,milesCurrent Weather ConditionsAre Not Available,[]
['ADE - Aden International Airport Current Conditions'],Scattered clouds84°F(29°C,)Wind12,SEVisibility6,['VERY LOW']
['SCT - Socotra Airport Current Conditions'],F(--°C)Wind--, ktsVisibility,milesCurrent Weather ConditionsAre Not Available,[]
['BGW - Baghdad International Airport Current Conditions'],Few clouds63°F(17°C,)Wind11,NWVisibility6,['VERY LOW']
['BSR - Basra International Airport Current Conditions'],--°F(--°C),Wind-- ,-- miles,['VERY LOW']
['EBL - Erbil International Airport Current Conditions'],--°F(--°C),Wind-- ,-- miles,['VERY LOW']
['KWI - Kuwait International Airport Current Conditions'],70°F(21°C),Wind15 ,Visibility6 ,['VERY LOW']
['ALP - Aleppo International Airport Current Conditions'],F(--°C)Wind--, ktsVisibility,milesCurrent Weather ConditionsAre Not Available,[]
['BEY - Beirut-Rafic Hariri International Airport Current Conditions'],70°F(21°C),Wind7 ,Visibility6 ,['VERY LOW']
"['AMM - Amman, Queen Alia International Airport Current Conditions']",No significant clouds64°F(18°C,)Wind13,SEVisibility3,['VERY LOW and decreasing']
"['EVN - Yerevan, Zvartnots International Airport Current Conditions']",No significant clouds48°F(9°C,)Wind3,ESEVisibility6,['VERY LOW and decreasing']
"['DOH - Doha, Hamad International Airport Current Conditions']",81°F(27°C),Wind20 ,Visibility6 ,['VERY LOW']
['BAH - Bahrain International Airport Current Conditions'],Few clouds77°F(25°C,)Wind20,NNWVisibility6,['VERY LOW']
['TBS - Tbilisi International Airport Current Conditions'],52°F(11°C),Wind2 ,6 miles,['VERY LOW']
"['ESB - Ankara, Esenboga International Airport Current Conditions']",Broken clouds48°F(9°C,)Wind11,SWVisibility6,['VERY LOW']
['IST - Istanbul Airport Current Conditions'],Few clouds54°F(12°C,)Wind13,SVisibility6,['MODERATE and decreasing']
['AYT - Antalya Airport Current Conditions'],Scattered clouds55°F(13°C,)Wind10,ENEVisibility2,['VERY LOW']
"['THR - Tehran, Mehrabad International Airport Current Conditions']",Few clouds59°F(15°C,)Wind4,Visibility6 ,['VERY LOW']
['TBZ - Tabriz Airport Current Conditions'],Few clouds48°F(9°C,)Wind6,WVisibility6,['VERY LOW']
"['GYD - Baku, Heydar Aliyev International Airport Current Conditions']",Broken clouds55°F(13°C,)Wind12,SVisibility6,['VERY LOW']
['YOW - Ottawa/Macdonald-Cartier International Airport Current Conditions'],Overcast19°F(-7°C,)Wind5,SWVisibility15,['VERY LOW and decreasing']
['YUL - Montreal-Pierre Elliott Trudeau International Airport Current Conditions'],Few clouds19°F(-7°C,)Wind9,WVisibility15,['VERY LOW']
['YVR - Vancouver International Airport Current Conditions'],Overcast30°F(-1°C,)Wind5,EVisibility10,['VERY LOW']
"['YYZ - Toronto, Pearson International Airport Current Conditions']",Few clouds25°F(-4°C,)Wind7,SSWVisibility15,['VERY LOW and decreasing']
['YQB - Quebec City Jean Lesage International Airport Current Conditions'],Overcast16°F(-9°C,)Wind12,WVisibility15,['VERY LOW']
['IAD - Washington Dulles International Airport Current Conditions'],Few clouds20°F(-7°C,)Wind--,Visibility10 ,['VERY LOW']
"['DCA - Washington, Ronald Reagan National Airport Current Conditions']",Few clouds26°F(-3°C,)Wind3,WSWVisibility10,['VERY LOW and decreasing']
"['JFK - New York, John F. Kennedy International Airport Current Conditions']",Few clouds27°F(-3°C,)Wind11,WVisibility10,['VERY LOW']
['LAX - Los Angeles International Airport Current Conditions'],Few clouds53°F(12°C,)Wind--,Visibility10 ,['VERY LOW']
"[""ORD - Chicago, O'Hare International Airport Current Conditions""]",Clear26°F(-3°C,)Wind9,SWVisibility10,['VERY LOW and decreasing']
['MDW - Chicago Midway International Airport Current Conditions'],Clear25°F(-4°C,)Wind10,SWVisibility10,['VERY LOW']
"['BOS - Boston, Logan International Airport Current Conditions']",Few clouds29°F(-2°C,)Wind13,WVisibility10,['VERY LOW and decreasing']
['SFO - San Francisco International Airport Current Conditions'],Few clouds54°F(12°C,)Wind3,NEVisibility3,['VERY LOW']
['SEA - Seattle-Tacoma International Airport Current Conditions'],Clear31°F(-1°C,)Wind--,Visibility6 ,['VERY LOW']
['DEN - Denver International Airport Current Conditions'],Broken clouds33°F(1°C,)Wind13,WSWVisibility10,['VERY LOW and increasing']
"['LAS - Las Vegas, Harry Reid International Airport Current Conditions']",Broken clouds44°F(7°C,)Wind--,Visibility10 ,['VERY LOW']
['CLE - Cleveland Hopkins International Airport Current Conditions'],Scattered clouds19°F(-7°C,)Wind9,SSWVisibility10,['VERY LOW and decreasing']
['ATL - Hartsfield-Jackson Atlanta International Airport Current Conditions'],Clear29°F(-2°C,)Wind8,NWVisibility10,['VERY LOW and decreasing']
['DTW - Detroit Metropolitan Wayne County Airport Current Conditions'],Broken clouds21°F(-6°C,)Wind13,SSWVisibility10,['VERY LOW']
['DFW - Dallas/Fort Worth International Airport Current Conditions'],Broken clouds41°F(5°C,)Wind6,SVisibility10,['VERY LOW']
['MIA - Miami International Airport Current Conditions'],Few clouds59°F(15°C,)Wind6,NWVisibility10,['VERY LOW']
"['IAH - Houston, George Bush Intercontinental Airport Current Conditions']",Few clouds42°F(6°C,)Wind3,NNEVisibility10,['VERY LOW']
"['HOU - Houston, William P. Hobby Airport Current Conditions']",Few clouds47°F(8°C,)Wind3,NNEVisibility10,['VERY LOW and decreasing']
['MCO - Orlando International Airport Current Conditions'],Few clouds48°F(9°C,)Wind9,NVisibility10,['VERY LOW and decreasing']
['PHX - Phoenix Sky Harbor International Airport Current Conditions'],Scattered clouds56°F(13°C,)Wind5,EVisibility10,['VERY LOW']
['PHL - Philadelphia International Airport Current Conditions'],Few clouds25°F(-4°C,)Wind6,WNWVisibility10,['VERY LOW and decreasing']
['SLC - Salt Lake City International Airport Current Conditions'],Few clouds25°F(-4°C,)Wind--,Visibility5 ,['VERY LOW']
['GOH - Nuuk Airport Current Conditions'],Few clouds30°F(-1°C,)Wind5,SSEVisibility6,['VERY LOW']
"['MEX - Mexico City, Benito Juarez International Airport Current Conditions']",Scattered clouds55°F(13°C,)Wind4,NWVisibility12,['VERY LOW']
"['SDQ - Santo Domingo, Las Americas International Airport Current Conditions']",Few clouds79°F(26°C,)Wind5,EVisibility6,['VERY LOW and increasing']
"['PAP - Port-au-Prince, Toussaint Louverture International Airport Current Conditions']",72°F(22°C),Wind6 ,Visibility-- ,['VERY LOW']
"['KIN - Kingston, Norman Manley International Airport Current Conditions']",Few clouds79°F(26°C,)Wind3,EVisibility6,['VERY LOW']
"['SCL - Santiago, Arturo Merino Benitez Airport Current Conditions']",No significant clouds61°F(16°C,)Wind2,Visibility5 ,['VERY LOW and decreasing']
"['LIM - Lima, Jorge Chavez International Airport Current Conditions']",Overcast68°F(20°C,)Wind4,SVisibility6,['VERY LOW']
"['UIO - Quito, Mariscal Sucre International Airport Current Conditions']",Scattered clouds54°F(12°C,)Wind1,SVisibility6,['VERY LOW']
"['PTY - Panama City, Tocumen International Airport Current Conditions']",Few clouds79°F(26°C,)Wind5,WVisibility6,['VERY LOW']
"['NAS - Nassau, Lynden Pindling International Airport Current Conditions']",Few clouds73°F(23°C,)Wind7,NEVisibility6,['VERY LOW']
"['SJO - San Jose, Juan Santamaria International Airport Current Conditions']",70°F(21°C),Wind5 ,Visibility6 ,['VERY LOW']
"['BOG - Bogota, El Dorado International Airport Current Conditions']",Broken clouds52°F(11°C,)Wind3,ENEVisibility6,['VERY LOW and decreasing']
"['CCS - Caracas, Simon Bolivar International Airport Current Conditions']",Scattered clouds79°F(26°C,)Wind--,Visibility6 ,['VERY LOW']
"['EZE - Buenos Aires, Ministro Pistarini Airport Current Conditions']",Overcast70°F(21°C,)Wind15,SVisibility1,['VERY LOW and increasing']
"['USH - Ushuaia, Malvinas Argentinas International Airport Current Conditions']",Broken clouds41°F(5°C,)Wind15,WSWVisibility6,['VERY LOW']
"['PBM - Paramaribo, Zanderij International Airport Current Conditions']",Broken clouds75°F(24°C,)Wind--,Visibility3 ,['VERY LOW']
"['CAY - Cayenne, Felix Eboue Airport Current Conditions']",°F(29°C)Wind,9 kts,6 miles,[]
['GRU - Sao Paulo-Guarulhos International Airport Current Conditions'],Few clouds72°F(22°C,)Wind9,NVisibility6,['VERY LOW and decreasing']
"['VCP - Campinas, Viracopos Airport Current Conditions']",Broken clouds72°F(22°C,)Wind8,NVisibility6,['MODERATE and increasing']
"['GIG - Rio De Janeiro, Galeao Antonio Carlos Jobim International Airport Current Conditions']",Few clouds79°F(26°C,)Wind10,EVisibility6,['VERY LOW and decreasing']
"['CWB - Curitiba, Afonso Pena International Airport Current Conditions']",Broken clouds70°F(21°C,)Wind11,WNWVisibility6,['VERY LOW and decreasing']
['BSB - Brasilia International Airport Current Conditions'],Few clouds82°F(28°C,)Wind2,WVisibility6,['SIGNIFICANT']
"['ASU - Asuncion, Silvio Pettirossi International Airport Current Conditions']",Few clouds86°F(30°C,)Wind8,ENEVisibility6,['VERY LOW']
"['MVD - Montevideo, Carrasco International Airport Current Conditions']",Few clouds73°F(23°C,)Wind13,NNEVisibility6,['VERY LOW']
['LHR - London Heathrow Airport Current Conditions'],No cloud detected41°F(5°C,)Wind2,Visibility6 ,['VERY LOW and decreasing']
['LTN - London Luton Airport Current Conditions'],No cloud detected34°F(1°C,)Wind6,Visibility6 ,['VERY LOW and decreasing']
['LGW - London Gatwick Airport Current Conditions'],Few clouds43°F(6°C,)Wind1,Visibility6 ,['VERY LOW and decreasing']
['MAN - Manchester Airport Current Conditions'],No cloud detected32°F(0°C,)Wind1,Visibility6 ,['VERY LOW and decreasing']
['EDI - Edinburgh Airport Current Conditions'],Few clouds34°F(1°C,)Wind4,WSWVisibility6,['VERY LOW and decreasing']
['CWL - Cardiff Airport Current Conditions'],No cloud detected41°F(5°C,)Wind7,ENEVisibility6,['VERY LOW']
['DUB - Dublin Airport Current Conditions'],Few clouds34°F(1°C,)Wind3,Visibility6 ,['VERY LOW']
['AMS - Amsterdam Airport Schiphol Current Conditions'],Few clouds36°F(2°C,)Wind6,WSWVisibility6,['LOW and decreasing']
['RTM - Rotterdam The Hague Airport Current Conditions'],Few clouds39°F(4°C,)Wind2,Visibility4 ,['VERY LOW']
['EIN - Eindhoven Airport Current Conditions'],Broken clouds37°F(3°C,)Wind6,WSWVisibility6,['VERY LOW']
['CPH - Copenhagen Airport Current Conditions'],Overcast30°F(-1°C,)Wind11,ENEVisibility6,['VERY LOW and decreasing']
['ARN - Stockholm Arlanda Airport Current Conditions'],23°F(-5°C),Wind3 ,Visibility6 ,['VERY LOW']
['OSL - Oslo Airport Gardermoen Current Conditions'],Broken clouds27°F(-3°C,)Wind14,NNEVisibility6,['VERY LOW']
['HEL - Helsinki-Vantaa Airport Current Conditions'],Few clouds28°F(-2°C,)Wind4,ENEVisibility6,['LOW and decreasing']
['BRU - Brussels Airport Current Conditions'],Few clouds41°F(5°C,)Wind6,WVisibility6,['VERY LOW and decreasing']
"['MUC - Munich, Franz Josef Strauss Airport Current Conditions']",36°F(2°C),Wind13 ,Visibility6 ,['VERY LOW and decreasing']
"['TXL - Berlin, Tegel Airport Current Conditions']",F(--°C)Wind--, ktsVisibility,milesCurrent Weather ConditionsAre Not Available,[]
['FRA - Frankfurt Airport Current Conditions'],Broken clouds36°F(2°C,)Wind12,SVisibility6,['SIGNIFICANT and decreasing']
['BRE - Bremen Airport Current Conditions'],Overcast32°F(0°C,)Wind15,NWVisibility6,['MODERATE']
['STR - Stuttgart Airport Current Conditions'],Few clouds37°F(3°C,)Wind8,SWVisibility6,['VERY LOW']
['HAM - Hamburg Airport Current Conditions'],Broken clouds34°F(1°C,)Wind5,NWVisibility1,['VERY LOW and decreasing']
['CGN - Cologne Bonn Airport Current Conditions'],Broken clouds39°F(4°C,)Wind11,WVisibility6,['VERY LOW and decreasing']
['HHN - Frankfurt - Hahn Airport Current Conditions'],°F(0°C)Wind,15 kts,4 miles,[]
"['CDG - Paris, Charles de Gaulle Airport Current Conditions']",Few clouds45°F(7°C,)Wind5,SVisibility6,['LOW and decreasing']
['LIL - Lille Airport Current Conditions'],Few clouds43°F(6°C,)Wind8,WSWVisibility6,['VERY LOW']
['MRS - Marseille Provence Airport Current Conditions'],48°F(9°C),Wind3 ,6 miles,['LOW and decreasing']
['LYS - Lyon Saint-Exupery International Airport Current Conditions'],Few clouds41°F(5°C,)Wind2,Visibility6 ,['VERY LOW and decreasing']
['ZRH - Zurich Airport Current Conditions'],Few clouds37°F(3°C,)Wind7,WSWVisibility6,['VERY LOW and decreasing']
"['GVA - Geneva, Geneve Airport Current Conditions']",Few clouds39°F(4°C,)Wind2,Visibility6 ,['VERY LOW']
['MAD - Adolfo Suarez Madrid-Barajas Airport Current Conditions'],Few clouds57°F(14°C,)Wind12,SWVisibility6,['VERY LOW and decreasing']
['BCN - Barcelona-El Prat Airport Current Conditions'],Broken clouds59°F(15°C,)Wind7,ENEVisibility6,['VERY LOW and decreasing']
['VLC - Valencia Airport Current Conditions'],Few clouds68°F(20°C,)Wind13,WNWVisibility6,['VERY LOW and decreasing']
['LIS - Lisbon Portela Airport Current Conditions'],Scattered clouds64°F(18°C,)Wind9,WSWVisibility6,['VERY LOW and decreasing']
['OPO - Porto Airport Current Conditions'],Broken clouds63°F(17°C,)Wind13,SSWVisibility6,['VERY LOW and decreasing']
"['FCO - Rome, Leonardo da Vinci-Fiumicino Airport Current Conditions']",59°F(15°C),Wind5 ,Visibility6 ,['VERY LOW and decreasing']
['MXP - Milano Malpensa Airport Current Conditions'],52°F(11°C),Wind4 ,Visibility6 ,['VERY LOW and increasing']
['VCE - Venice Marco Polo Airport Current Conditions'],Few clouds50°F(10°C,)Wind9,NEVisibility6,['LOW and decreasing']
['NAP - Naples International Airport Current Conditions'],Scattered clouds57°F(14°C,)Wind4,SSWVisibility6,['VERY LOW and decreasing']
"['FLR - Florence, Firenze-Peretola Airport Current Conditions']",46°F(8°C),Wind3 ,Visibility6 ,['MODERATE and increasing']
['GOA - Genoa Cristoforo Colombo Airport Current Conditions'],Few clouds59°F(15°C,)Wind3,ESEVisibility6,['VERY LOW']
['TRN - Turin Airport Current Conditions'],50°F(10°C),Wind4 ,Visibility6 ,['VERY LOW and decreasing']
['MLA - Malta International Airport Current Conditions'],Few clouds66°F(19°C,)Wind11,WVisibility6,['VERY LOW and decreasing']
['PRG - Vaclav Havel Airport Prague Current Conditions'],Few clouds27°F(-3°C,)Wind20,SWVisibility6,['VERY LOW and decreasing']
"['BTS - Bratislava, M.R. Stefanik Airport Current Conditions']",Few clouds36°F(2°C,)Wind6,WNWVisibility6,['NOT AVAILABLE']
['BUD - Budapest Ferenc Liszt International Airport Current Conditions'],Few clouds36°F(2°C,)Wind4,NWVisibility6,['VERY LOW and increasing']
['LUX - Luxembourg Airport Current Conditions'],Broken clouds34°F(1°C,)Wind10,WSWVisibility2,['VERY LOW and decreasing']
['VIE - Vienna International Airport Current Conditions'],Few clouds36°F(2°C,)Wind9,WVisibility6,['VERY LOW']
['SZG - W. A. Mozart Salzburg Airport Current Conditions'],Few clouds32°F(0°C,)Wind6,SEVisibility6,['VERY LOW']
['LNZ - Linz Airport Current Conditions'],Few clouds34°F(1°C,)Wind9,WNWVisibility6,['VERY LOW']
['INN - Innsbruck Airport Current Conditions'],Few clouds39°F(4°C,)Wind2,Visibility6 ,['VERY LOW']
"['BEG - Belgrade, Belgrad Nikola Tesla Airport Current Conditions']",Few clouds39°F(4°C,)Wind10,WVisibility6,['LOW']
['PRN - Pristina International Airport Current Conditions'],--°F(--°C),Wind-- ,-- miles,['VERY LOW']
['TGD - Podgorica Airport Current Conditions'],Few clouds55°F(13°C,)Wind1,Visibility6 ,['LOW and decreasing']
['SJJ - Sarajevo International Airport Current Conditions'],Few clouds36°F(2°C,)Wind5,NNWVisibility6,['MODERATE and increasing']
"['ZAG - Zagreb, Franjo Tudman Airport Current Conditions']",Few clouds43°F(6°C,)Wind3,Visibility6 ,['VERY LOW']
"['WAW - Warsaw, Frederic Chopin Airport Current Conditions']",Scattered clouds28°F(-2°C,)Wind11,WVisibility6,['VERY LOW']
"['ATH - Athens, Eleftherios Venizelos International Airport Current Conditions']",Few clouds70°F(21°C,)Wind16,SSWVisibility6,['VERY LOW']
"['SVO - Moscow, Sheremetyevo International Airport Current Conditions']",Broken clouds23°F(-5°C,)Wind8,EVisibility4,['VERY LOW and decreasing']
"['LED - Saint Petersburg, Pulkovo Airport Current Conditions']",Broken clouds23°F(-5°C,)Wind5,ESEVisibility6,['VERY LOW']
"['AER - Adler/Sochi, Sochi International Airport Current Conditions']",Few clouds57°F(14°C,)Wind4,ESEVisibility6,['VERY LOW and decreasing']
['KZN - Kazan International Airport Current Conditions'],28°F(-2°C),Wind2 ,Visibility6 ,['VERY LOW']
['VVO - Vladivostok International Airport Current Conditions'],No significant clouds9°F(-13°C,)Wind2,NNWVisibility6,['VERY LOW']
['HTA - Chita Airport Current Conditions'],°F(-10°C)Wind,3 kts,6 miles,[]
"['TJM - Tyumen, Roshchino International Airport Current Conditions']",Scattered clouds25°F(-4°C,)Wind2,ENEVisibility6,['VERY LOW']
['VVO - Vladivostok International Airport Current Conditions'],No significant clouds9°F(-13°C,)Wind2,NNWVisibility6,['VERY LOW']
['KHV - Khabarovsk Airport Current Conditions'],Scattered clouds-6°F(-21°C,)Wind3,SSWVisibility6,['VERY LOW']
['UUD - Ulan-Ude Airport Current Conditions'],Few clouds3°F(-16°C,)Wind4,WVisibility6,['NOT AVAILABLE']
['SOF - Sofia Airport Current Conditions'],Few clouds41°F(5°C,)Wind6,WNWVisibility4,['LOW and increasing']
['MSQ - Minsk National Airport Current Conditions'],Overcast23°F(-5°C,)Wind5,NNWVisibility1,['VERY LOW']
"['KBP - Kiev/Kyiv, Boryspil International Airport Current Conditions']",F(--°C)Wind--, ktsVisibility,milesCurrent Weather ConditionsAre Not Available,[]
"['IEV - Kiev, Kyiv International Airport Current Conditions']",F(--°C)Wind--, ktsVisibility,milesCurrent Weather ConditionsAre Not Available,[]
['DNK - Dnepropetrovsk International Airport Current Conditions'],F(--°C)Wind--, ktsVisibility,milesCurrent Weather ConditionsAre Not Available,[]
['ODS - Odessa International Airport Current Conditions'],F(--°C)Wind--, ktsVisibility,milesCurrent Weather ConditionsAre Not Available,[]
['TLL - Tallinn Airport Current Conditions'],Overcast19°F(-7°C,)Wind6,EVisibility6,['VERY LOW and decreasing']
['RIX - Riga International Airport Current Conditions'],Scattered clouds19°F(-7°C,)Wind4,EVisibility6,['LOW']
['VNO - Vilnius International Airport Current Conditions'],Overcast21°F(-6°C,)Wind9,NNWVisibility3,['LOW and decreasing']
['CAI - Cairo International Airport Current Conditions'],73°F(23°C),Wind9 ,Visibility6 ,['VERY LOW']
"['RBA - Rabat, Sale Airport Current Conditions']",No significant clouds70°F(21°C,)Wind4,SWVisibility4,['MODERATE and decreasing']
['TIP - Tripoli International Airport Current Conditions'],F(--°C)Wind--, ktsVisibility,milesCurrent Weather ConditionsAre Not Available,[]
['TUN - Tunis-Carthage International Airport Current Conditions'],Few clouds64°F(18°C,)Wind7,WSWVisibility6,['VERY LOW and decreasing']
"['SID - Sal, Amilcar Cabral International Airport Current Conditions']",Few clouds79°F(26°C,)Wind10,NEVisibility6,['VERY LOW']
['ASK - Yamoussoukro Airport Current Conditions'],F(--°C)Wind--, ktsVisibility,milesCurrent Weather ConditionsAre Not Available,[]
"['ABJ - Abidjan, Felix Houphouet Boigny Airport Current Conditions']",Scattered clouds86°F(30°C,)Wind7,SWVisibility6,['VERY LOW']
['CKY - Conakry Airport Current Conditions'],--°F(--°C),Wind-- ,-- miles,['VERY LOW']
['KRT - Khartoum International Airport Current Conditions'],F(--°C)Wind--, ktsVisibility,milesCurrent Weather ConditionsAre Not Available,[]
['JUB - Juba International Airport Current Conditions'],--°F(--°C),Wind-- ,-- miles,['VERY LOW']
['ADD - Addis Ababa Bole International Airport Current Conditions'],Few clouds72°F(22°C,)Wind12,EVisibility6,['VERY LOW']
['JIB - Djibouti-Ambouli International Airport Current Conditions'],Few clouds91°F(33°C,)Wind11,ENEVisibility6,['VERY LOW']
['ASM - Asmara International Airport Current Conditions'],F(--°C)Wind--, ktsVisibility,milesCurrent Weather ConditionsAre Not Available,[]
['BKO - Bamako-Senou International Airport Current Conditions'],90°F(32°C),Wind6 ,Visibility6 ,['VERY LOW']
['EDJ - Bellefontaine Regional Airport Current Conditions'],F(--°C)Wind--, ktsVisibility,milesCurrent Weather ConditionsAre Not Available,[]
['GAQ - Gao Airport Current Conditions'],F(--°C)Wind--, ktsVisibility,milesCurrent Weather ConditionsAre Not Available,[]
['MGQ - Mogadishu International Airport Current Conditions'],Scattered clouds86°F(30°C,)Wind14,ENEVisibility6,['VERY LOW']
['NDJ - Ndjamena Airport Current Conditions'],No significant clouds97°F(36°C,)Wind10,NEVisibility5,['VERY LOW']
"[""BGF - Bangui, M'poko International Airport Current Conditions""]",--°F(--°C),Wind-- ,-- miles,['VERY LOW']
['YAO - Yaounde Ville Airport Current Conditions'],F(--°C)Wind--, ktsVisibility,milesCurrent Weather ConditionsAre Not Available,[]
"['JNB - Johannesburg, O.R. Tambo International Airport Current Conditions']",77°F(25°C),Wind14 ,Visibility6 ,['VERY LOW']
['CPT - Cape Town International Airport Current Conditions'],75°F(24°C),Wind20 ,Visibility6 ,['VERY LOW']
"['HRE - Harare, RG Mugabe International Airport Current Conditions']",--°F(--°C),Wind-- ,-- miles,['VERY LOW']
